Tag,Headline,Summary,Link
James Purnell,In defence of creative arts degrees,Ministers who decry ‘soft’ subjects fail to recognise their contribution to the UK economy,https://www.ft.com/content/457c52d2-16ff-4b2d-b7a5-14d750d5f555
UK business & economy,Military to begin delivering petrol to UK garages from Monday ,Visa rules for overseas tanker drivers to be loosened amid week-long fuel supply crisis,https://www.ft.com/content/63580094-33f1-4a36-97bf-57612f2267b5
Philippines,Duterte scraps vice-presidential bid and says he will quit politics,Move follows decline in polls during pandemic for one of the most popular presidents in Philippine history,https://www.ft.com/content/20ec38e0-82c9-4f28-a304-6c0988c56a2e
Scoreboard,Vaccine hesitancy in sport: NBA gets political again Premium content,"Plus, Afghan cricket after Taliban takeover, Uefa suffers Super League defeat, and more",https://www.ft.com/content/2e1bdc5c-a977-4ef9-ac5a-acceb7606345
John Dizard,European gas market faces more strain after Western Sahara dispute flares,Algeria plans to shut down pipeline that passes through Morocco to Spain,https://www.ft.com/content/8891811d-4c08-411b-843d-61716cf97400
Payne's Politics podcast38 min listen,Keir Starmer’s clear break with the Jeremy Corbyn era,Dissecting what the leader of the opposition had to say when he delivered his first speech to the Labour party conference this past week,https://www.ft.com/content/aef8069d-fa7f-4b35-b0b2-39966da624ee
Tim Bale,Identity politics are a risky strategy for both Labour and the Tories,"Keir Starmer may not be on track for a win in the next election, but the Conservatives should worry about transactional voters",https://www.ft.com/content/28e94b6a-fd64-445f-a258-7ec5c5a6b1cd
UK government spending,Retired general to lead wide-ranging review of England’s NHS ,Gordon Messenger’s study to identify outstanding leaders in health and social care follows government’s plans for new levy,https://www.ft.com/content/ec517296-4b7f-4dd7-ab34-ced56ceecd8f
US equities,Wall Street closes turbulent week on a positive note,Blue-chip S&P 500 index was pushed lower last month by growth and inflation concerns and US monetary policy,https://www.ft.com/content/7ed47d9f-174d-40a9-a1df-8214aabd2692
UK politics lobbying,UK lobbying regulator probes David Cameron for second time this year,Media reports suggest former prime minister lobbied two ministers on behalf of US biotech group Illumina,https://www.ft.com/content/44a56fbc-6c53-4b7d-aea9-eb010578e76d
UK Budget,Sunak urges Tories to back him on reining in spending ,Chancellor pressed by Labour to increase support for households as cost of living rises  ,https://www.ft.com/content/2509f058-2dac-4167-8d2c-5850eda1c4f1
